Id;Id;Id;Id;Id;Id;
6092;6092;6092;6092;6092;6092;
6091;6091;6091;6091;6091;6091;
6081;6081;6081;6081;6081;6081;
6728;6728;6728;6728;6728;6728;
53;53;53;53;53;53;
45423;45423;45423;45423;45423;45423;
72;72;72;72;72;72;
6080;6080;6080;6080;6080;6080;
10518;10518;10518;10518;10518;10518;
461;461;461;461;461;461;
6079;6079;6079;6079;6079;6079;
536;536;536;536;536;536;
45419;45419;45419;45419;45419;45419;
6078;6078;6078;6078;6078;6078;
6077;6077;6077;6077;6077;6077;
6076;6076;6076;6076;6076;6076;
6075;6075;6075;6075;6075;6075;
4482;4482;4482;4482;4482;4482;
6074;6074;6074;6074;6074;6074;
6073;6073;6073;6073;6073;6073;
6072;6072;6072;6072;6072;6072;
6071;6071;6071;6071;6071;6071;
6070;6070;6070;6070;6070;6070;
118;118;118;118;118;118;
6068;6068;6068;6068;6068;6068;
6058;6058;6058;6058;6058;6058;
7939;7939;7939;7939;7939;7939;
270;270;270;270;270;270;
6057;6057;6057;6057;6057;6057;
1751;1751;1751;1751;1751;1751;
