Id;Date;OwnerId;AutorId;Text;Type;
6092;2021-06-15;-198041786;-198041786;Бесплатный UE ассет ??Megascans: Rustic Potteryby Quixel MegascansMegascans: Rustic Pottery is a collection of premium quality 3D scans including LODs and high-poly source, with baked and calibrated PBR maps.Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6091;2021-06-15;-198041786;-198041786;Бесплатный UE ассет ??Megascans: Mineby Quixel MegascansMegascans: Mine is a collection of high-resolution, consistent PBR calibrated surface 3D scans. It’s the product of 5 years of scanning and is a collaboration with top game and film studios worldwide.Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6081;2021-06-15;-198041786;-198041786;Unity Asset Store ??PIXEL CARSby VOiD1 GamingHere are 15 Premium Pixel Art Car assets with Uniform Pixel Density containing different states like convertible roof closed and open roop, crafted with utmost care towards Game Development Workflow.Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6728;2021-06-15;8732287;8732287;Заходим. Регаемся. Готовимся. Шоукейсим. PROFIT!#gamedev #indiedev #indiegame #indiegames #vkfest #vkfest2021;post;
53;2021-06-15;-201693024;-201693024;Дополнительным элементом игрового процесса, поддерживающим механику шутера, являются разрушаемые стены. В игре невозможно будет добраться до некоторых участков уровня, не разрушив часть этих стен.#gamedev #gameplay #indiegame #ue4 #unrealengine #геймдев;post;
45423;2021-06-15;-24998;-24998;В скором времени на PC, PlayStation и Xbox выйдет сюжетное приключение Harold Halibut. Что интересно, для создания игры разработчики предварительно создавали все локации и героев вручную, а потом занимались 3D-сканированием. #HaroldHalibut #indiegame #indie #adventure #адвенчура #квест;post;
72;2021-06-15;-201791085;-201791085;Первый трейлер игры "Стинт: Сквозь миры" подоспел! Ждем от вас комментарии.А пока продолжаем готовить новые трейлеры и нарезки геймплея......#СтинтСквозьМиры #ИграпроСтинта #gamedev #indiegame #bearscomgames #stint;post;
6080;2021-06-15;-198041786;-198041786;Unity Asset Store ??"Main Menu" Free Soundtrackby CMAfvgFree Soundtrack "Main Menu" from "Viking's Revenge Music Pack" Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
10518;2021-06-15;-33904546;-33904546;В скором времени на PC, PlayStation и Xbox выйдет сюжетное приключение Harold Halibut. Что интересно, для создания игры разработчики предварительно создавали все локации и героев вручную, а потом занимались 3D-сканированием.  #HaroldHalibut #indiegame #indie #adventure #адвенчура #квест;post;
461;2021-06-15;-200907492;-200907492;Что будет дальше и маленький фикс!  Всем спасибо за отзывы, критику и, отдельно, монеееетки… Именно благодаря всем вам считаю первый билд успехом. Мы взяли первый рубеж, но впереди ещё россыпь, больших и маленьких.  Из маленьких: Я потихоньку буду обновлять готовый билд игры "Моя терапия", исправляя популярные ошибки и реализуя собственные амбиции. Вот тут всегда лежит последняя версия: https://vk.com/topic-200907492_47625144 . Сейчас я добавил два новых трека в место, где была тишина, один из которых вы даже не слышали, а также сделал Аяку действительно пухлой, и совершил ещё несколько маленьких фиксов. Если вы ещё не играли в первый билд – поиграйте именно в эту версию. Если уже играли, ничего нового для вас там не будет.  Теперь про серьёзные дела. Следующая большая цель – билд с прологом и тремя игровыми днями. За это время вы познакомитесь со всеми основными персонажами, встретите ещё двух второстепенных.  Для его создания нам нужно, как минимум: 11 новых спрайтов. 5 новых фонов. Редактирование готового текста. Звукорежиссура готовых треков и звуков. Разумеется, код. Из опционального: оформление всех игровых экранов. Как минимум две ЦГ-шки.  Как у меня обстоят дела со сроками – вы уже видели, но я все равно их оглашу, чтобы у вас было хотя бы представление о моих ощущениях. В начале осени вы увидите новую версию.  Есть и альтернативный вариант! Это выпуск сначала только второго дня. Где будут представлены только два основных и один второстепенный персонаж. Для такого билда нужно только 7 спрайтов, 4 новых фона и одна опциональная ЦГ-шка. Что именно выпустить – буду решать по ситуации. #gamedev #game #indiegame #indie #art #арт #anime #аниме;post;
